time,id,clone_id,parent_id,size,S,R1,R2,R3
51,1,1,0,1,0.27692306,0.051668998,0.27962494,0.39178306
51,2,1,0,1,0.94857335,0.023755223,0.025757518,0.0019138578
51,3,1,2,1,0.22206868,0.3008825,0.452975,0.02407374
51,4,1,1,1,0.91465753,7.8732606e-05,0.024670152,0.060593523
51,5,1,1,1,0.91623414,0.0027539856,0.06380601,0.01720587
51,6,1,1,1,0.38805234,0.05107193,0.17903367,0.38184205
51,7,1,1,1,0.8605072,0.025157917,0.07792759,0.036407232
51,8,1,3,1,0.00095804187,0.05009784,0.9489415,2.636137e-06
51,9,2,1,1,0.86625636,1.6424794e-05,0.11984909,0.013878221
51,10,2,7,1,0.9185,0.00010468751,0.04213773,0.03925758
51,11,2,7,1,0.60405326,0.11821084,0.027025795,0.25071
51,12,2,5,1,0.8039777,0.024500988,0.12636377,0.045157637
51,13,2,9,1,0.0016553033,1.5445825e-05,1.8754761e-05,0.99831045
51,14,2,11,1,0.9689332,0.0070701344,0.008443866,0.015552842
51,15,2,12,1,0.046146117,0.00024594145,0.7901054,0.1635026
51,16,2,14,1,3.4439018e-10,2.590365e-12,2.0607897e-07,0.99999976
51,17,2,9,1,0.59182674,0.00020323799,0.31181085,0.096159145
51,18,2,5,1,0.89789206,0.00025089498,0.078962974,0.0228941
51,19,2,11,1,0.5187122,0.3619605,0.094334,0.024993286
51,20,2,4,1,0.41725725,0.0054117576,0.39190647,0.18542454
51,21,2,7,1,0.99472,0.0015948549,0.002747822,0.0009372227
51,22,2,11,1,0.9927573,0.0068964986,4.1999776e-08,0.00034620837
51,23,3,0,1,0.15881589,0.071679264,0.41263637,0.35686845
51,24,3,20,1,0.001138512,0.29059193,0.69172436,0.016545199
52,0,0,-1,1,0.21580975,0.23540291,0.24570878,0.30307862
52,1,1,0,1,0.28215814,0.05231936,0.2767868,0.3887357
52,2,1,0,1,0.95214945,0.022105515,0.024019001,0.0017259747
52,3,1,2,1,0.23590866,0.29936057,0.43776876,0.026962018
52,4,1,1,1,0.92316234,6.3932646e-05,0.022043217,0.054730464
52,5,1,1,1,0.92390627,0.002418449,0.058141086,0.015534253
52,6,1,1,1,0.43403813,0.04551401,0.15236786,0.36808002
52,7,1,1,1,0.8757227,0.022517031,0.06921794,0.03254241
52,8,1,3,1,0.0009765824,0.05063447,0.94838625,2.6875923e-06
52,9,2,1,1,0.88803834,1.0861349e-05,0.10063776,0.011312974
52,10,2,7,1,0.9271688,8.3248575e-05,0.037867133,0.03488085
