time,clone_id,parent_id,mutation_size,vaf,S,R1,R2,R3,T1,T2,T3
43,3,1,7,0.18421052631578946,0.9980865,0.0007895226,0.00041502898,0.0007089114,1.0,0.0,0.0
43,4,2,3,0.07894736842105263,0.41804305,0.5725122,0.0046351035,0.0048096343,1.0,0.0,0.0
43,5,3,1,0.02631578947368421,0.9993974,4.291923e-09,2.7669833e-07,0.0006023919,1.0,0.0,0.0
43,6,3,4,0.10526315789473684,0.99999994,4.1875473e-10,1.6935259e-09,4.7043716e-08,1.0,0.0,0.0
43,7,0,2,0.05263157894736842,0.0341549,0.44634163,0.36742976,0.15207365,1.0,0.0,0.0
43,8,0,1,0.02631578947368421,0.22638461,0.44851622,0.18279122,0.1423079,1.0,0.0,0.0
43,9,7,1,0.02631578947368421,0.02368103,4.676092e-06,0.6975938,0.2787205,1.0,0.0,0.0
43,10,1,2,0.05263157894736842,0.011772258,0.37461942,0.074223235,0.5393851,1.0,0.0,0.0
43,11,2,1,0.02631578947368421,0.015511162,0.9625518,4.7204317e-06,0.021932399,1.0,0.0,0.0
43,12,6,1,0.02631578947368421,1.0,2.0990016e-13,9.525439e-10,3.6545936e-10,1.0,0.0,0.0
43,13,3,1,0.02631578947368421,0.9906226,0.005477059,0.0017888212,0.0021114575,1.0,0.0,0.0
43,14,4,2,0.05263157894736842,0.53154904,0.46824586,1.6729e-05,0.0001883221,1.0,0.0,0.0
